id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
6064836159, '', '', 4.0, 5.0, 3779.0, 9957.0, '', '', '', '', '', '', '', -1, '', u'98040', 475.80298999999997, -122.208529, '', ''
8804587289, '', '', 4.0, 3.0, 2100.0, 5000.0, '', '', '', '', '', '', '', -1, '', u'98107', 476.73882999999995, -122.362197, '', ''
2349161866, '', '', 3.0, 2.5, 2498.0, 7405.0, '', '', '', '', '', '', '', -1, '', u'98023', 472.91616, -122.359613, '', ''
1280511779, '', '', 3.0, 3.0, 1878.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98053', 476.99951, -122.017857, '', ''
3644649054, '', '', 2.0, 1.75, 1051.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98007', 476.5036, -122.145243, '', ''
8859677839, '', '', 3.0, 2.0, 1500.0, 12928.0, '', '', '', '', '', '', '', -1, '', u'98003', 473.35326000000003, -122.320487, '', ''
6590036639, '', '', 4.0, 3.0, 1993.0, 6433.0, '', '', '', '', '', '', '', -1, '', u'98038', 473.65288999999996, -122.035792, '', ''
8717421420, '', '', 3.0, 2.0, 1232.0, 2543.0, '', '', '', '', '', '', '', -1, '', u'98198', 473.93872999999996, -122.303267, '', ''
1492229804, '', '', 3.0, 3.0, 3450.0, 18112.0, '', '', '', '', '', '', '', -1, '', u'98008', 476.26462, -122.087867, '', ''
8786663244, '', '', 3.0, 2.5, 2860.0, 11107.0, '', '', '', '', '', '', '', -1, '', u'98008', 476.17447, -122.100684, '', ''
2684372421, '', '', 4.0, 3.0, 2220.0, 10802.0, '', '', '', '', '', '', '', -1, '', u'98023', 473.06928999999997, -122.386471, '', ''
5241841577, '', '', 3.0, 2.0, 2520.0, 3998.0, '', '', '', '', '', '', '', -1, '', u'98122', 476.02410999999995, -122.300737, '', ''
8188225372, '', '', 2.0, 2.0, 1323.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98121', 476.13539000000003, -122.342212, '', ''
1474197446, '', '', 4.0, 3.0, 2692.0, 5148.0, '', '', '', '', '', '', '', -1, '', u'98115', 476.82896, -122.302144, '', ''
5859615164, '', '', 3.0, 3.0, 1793.0, 901.0, '', '', '', '', '', '', '', -1, '', u'98117', 476.83627, -122.376577, '', ''
5792263334, '', '', 4.0, 3.0, 2090.0, 15389.0, '', '', '', '', '', '', '', -1, '', u'98030', 473.63631, -122.209086, '', ''
3447508762, '', '', 4.0, 3.0, 2870.0, 10040.0, '', '', '', '', '', '', '', -1, '', u'98040', 475.45900000000006, -122.228687, '', ''
8429358544, '', '', 2.0, 1.0, 600.0, 3484.0, '', '', '', '', '', '', '', -1, '', u'98118', 475.59776, -122.287972, '', ''
5970260971, '', '', 4.0, 4.0, 6750.0, 64982.0, '', '', '', '', '', '', '', -1, '', u'98112', 476.27408, -122.285605, '', ''
3978720228, '', '', 5.0, 4.0, 3950.0, 14400.0, '', '', '', '', '', '', '', -1, '', u'98115', 476.98027, -122.278358, '', ''
1920446268, '', '', 4.0, 3.0, 1965.0, 1655.0, '', '', '', '', '', '', '', -1, '', u'98144', 475.8749, -122.309255, '', ''
4563192031, '', '', 4.0, 2.0, 2200.0, 2793.0, '', '', '', '', '', '', '', -1, '', u'98102', 476.40487, -122.324428, '', ''
5229206478, '', '', 5.0, 5.0, 4661.0, 11992.0, '', '', '', '', '', '', '', -1, '', u'98033', 476.82149000000004, -122.186308, '', ''
2377477581, '', '', 2.0, 1.0, 1350.0, 609.0, '', '', '', '', '', '', '', -1, '', u'98103', 476.75758, -122.354528, '', ''
4288459951, '', '', 3.0, 2.0, 1487.0, 1306.0, '', '', '', '', '', '', '', -1, '', u'98102', 476.22334, -122.319596, '', ''
4444644380, '', '', 4.0, 3.0, 2480.0, 13464.0, '', '', '', '', '', '', '', -1, '', u'98023', 473.06962, -122.394817, '', ''
9345920365, '', '', 3.0, 3.0, 1680.0, 8276.0, '', '', '', '', '', '', '', -1, '', u'98052', 476.78182999999996, -122.149314, '', ''
874783607, '', '', 4.0, 2.0, 2150.0, 9909.0, '', '', '', '', '', '', '', -1, '', u'98146', 474.96578, -122.346144, '', ''
6127838115, '', '', 6.0, 5.0, 5083.0, 21780.0, '', '', '', '', '', '', '', -1, '', u'98199', 476.58507999999995, -122.412504, '', ''
948939068, '', '', 2.0, 2.0, 1036.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98034', 477.07903999999996, -122.171144, '', ''
4923319472, '', '', 5.0, 3.0, 2550.0, 8276.0, '', '', '', '', '', '', '', -1, '', u'98126', 475.69228000000004, -122.380573, '', ''
4375960982, '', '', 3.0, 2.0, 1938.0, 3920.0, '', '', '', '', '', '', '', -1, '', u'98116', 475.82597, -122.382549, '', ''
3565877071, '', '', 4.0, 3.0, 2854.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98112', 476.23894, -122.291641, '', ''
7504150598, '', '', 4.0, 1.75, 2280.0, 9147.0, '', '', '', '', '', '', '', -1, '', u'98092', 472.94275, -122.187944, '', ''
661323991, '', '', 4.0, 4.0, 3915.0, 6494.0, '', '', '', '', '', '', '', -1, '', u'98119', 476.50575000000003, -122.37278, '', ''
5132772717, '', '', 2.0, 1.0, 700.0, 2700.0, '', '', '', '', '', '', '', -1, '', u'98112', 476.40183, -122.279918, '', ''
835177051, '', '', 5.0, 3.0, 3902.0, 8276.0, '', '', '', '', '', '', '', -1, '', u'98155', 477.64204, -122.270531, '', ''
5842804643, '', '', 4.0, 2.0, 2080.0, 5227.0, '', '', '', '', '', '', '', -1, '', u'98116', 475.74060000000003, -122.393724, '', ''
4635092882, '', '', 4.0, 4.0, 4518.0, 16552.0, '', '', '', '', '', '', '', -1, '', u'98075', 475.86846, -121.96815, '', ''
3940103801, '', '', 4.0, 2.5, 3250.0, 6054.0, '', '', '', '', '', '', '', -1, '', u'98065', 475.36492000000004, -121.867519, '', ''
2561257273, '', '', 3.0, 5.0, 9420.0, 142563.0, '', '', '', '', '', '', '', -1, '', u'98004', 476.4828, -122.231676, '', ''
4380061921, '', '', 2.0, 1.0, 1122.0, 4281.0, '', '', '', '', '', '', '', -1, '', u'98105', 476.68012, -122.320348, '', ''
9716559367, '', '', 2.0, 1.0, 802.0, 13870.0, '', '', '', '', '', '', '', -1, '', u'98119', 476.41702000000004, -122.375788, '', ''
2324903654, '', '', 6.0, 6.0, 5830.0, 10454.0, '', '', '', '', '', '', '', -1, '', u'98052', 476.35205999999994, -122.092883, '', ''
1360809280, '', '', 4.0, 3.0, 2130.0, 11129.0, '', '', '', '', '', '', '', -1, '', u'98031', 474.126, -122.175945, '', ''
6382653942, '', '', 4.0, 2.0, 2380.0, 8514.0, '', '', '', '', '', '', '', -1, '', u'98166', 474.68791000000004, -122.349651, '', ''
8802601691, '', '', 3.0, 2.0, 2880.0, 6098.0, '', '', '', '', '', '', '', -1, '', u'98109', 476.36978, -122.346747, '', ''
1831730058, '', '', 4.0, 3.0, 2430.0, 6098.0, '', '', '', '', '', '', '', -1, '', u'98042', 473.7797, -122.125226, '', ''
9084502741, '', '', 4.0, 3.0, 2390.0, 7544.0, '', '', '', '', '', '', '', -1, '', u'98019', 477.3289, -121.984344, '', ''
7522056591, '', '', 3.0, 2.0, 1456.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98042', 473.58117, -122.136031, '', ''
1373353810, '', '', 3.0, 2.0, 1840.0, 39639.0, '', '', '', '', '', '', '', -1, '', u'98056', 475.18467, -122.168055, '', ''
6728993982, '', '', 4.0, 2.0, 2660.0, 9448.0, '', '', '', '', '', '', '', -1, '', u'98188', 474.53558, -122.270189, '', ''
777295622, '', '', 4.0, 2.0, 1370.0, 10493.0, '', '', '', '', '', '', '', -1, '', u'98006', 475.73889, -122.142597, '', ''
2175377478, '', '', 4.0, 3.0, 4400.0, 217800.0, '', '', '', '', '', '', '', -1, '', u'98024', 475.33309, -121.897036, '', ''
5856355269, '', '', 4.0, 3.0, 2692.0, 13503.0, '', '', '', '', '', '', '', -1, '', u'98003', 473.48929, -122.298345, '', ''
6618092486, '', '', 3.0, 2.5, 2020.0, 7405.0, '', '', '', '', '', '', '', -1, '', u'98118', 475.15922, -122.285078, '', ''
8854395768, '', '', 2.0, 1.0, 889.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98007', 476.38256, -122.145764, '', ''
9414094507, '', '', 2.0, 2.0, 1080.0, 1772.0, '', '', '', '', '', '', '', -1, '', u'98144', 475.87420000000003, -122.298431, '', ''
3888632935, '', '', 4.0, 4.0, 3934.0, 11940.0, '', '', '', '', '', '', '', -1, '', u'98059', 475.28774, -122.161797, '', ''
2972871080, '', '', 3.0, 2.0, 2230.0, 5649.0, '', '', '', '', '', '', '', -1, '', u'98118', 475.12793, -122.258428, '', ''
2274248464, '', '', 4.0, 2.0, 2320.0, 4567.0, '', '', '', '', '', '', '', -1, '', u'98126', 475.71593, -122.376373, '', ''
612939813, '', '', 1.0, 1.0, 598.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98003', 473.11678, -122.3266, '', ''
8167223175, '', '', 4.0, 4.0, 4100.0, 33541.0, '', '', '', '', '', '', '', -1, '', u'98034', 477.07566999999995, -122.22659, '', ''
1848496918, '', '', 2.0, 1.0, 1046.0, 871.0, '', '', '', '', '', '', '', -1, '', u'98103', 476.97238, -122.347091, '', ''
